Course: EEE216
Date: 2026_02_01
Start Time: 1PM
Duration: 3HRS hours
-----------------------------------
01243468D,Raymond Tetteh,Present
Maxwell,Mensah,Present
01242343D,Raymond Tetteh,Present
01224354D,Maxwell ,Present
01332413D,Samuel Ankomah,Present
01220954D,Fred Appiah,Present
01234345D,Raymond Tetteh,Present
01443542D,Samuel AMAH,Present
01254343D,Yaw Mensah,Present
0124567D,Ruth Amoah,Present
01234454D,Regina Tetteh,Present
01234357D,Daniel Agyeman,Present
01242376D,Menns Appiah,Present
-----------------------------------
Summary:
Present: 13
Absent: 0
Late: 0
